SpecimenID,Family,Genus,Species
29542,Euphorbiaceae,Antidesma,bunius
29543,Leguminosae,Dalbergia,balansae
29544,Lauraceae,Actinodaphne,sp.
29545,Myrtaceae,Decaspermum,hainanensis
29546,Sterculiaceae,Kleinhofia,hospita
29547,Euphorbiaceae,Phyllanthus,emblica
29548,Leguminosae,Gleditsia,australis
29549,Leguminosae,Aglaia,tetrapetala
29550,Leguminosae,Tamarindus,indica
29551,Guttiferae,Cratoxylon,ligustrifolium
29552,Rubiaceae,Randia,racemosa
29553,Leguminosae,Ormosia,semicastrata
29554,Symplocaceae,Symplocos,laurina
29555,Leguminosae,Dalbergia,hainanensis
29556,Lauraceae,Cryptocarya,obtusifolia
29557,Escalloniaceae,Polyosma,cambodiana
29558,Myrtaceae,Eugenia,subdecurrans
29559,Symplocaceae,Symplocos,neriifolia
29560,Styracaceae,Alniphyllum,fortunei
29561,Fagaceae,Pasania,caudatilimba
29562,Missing,Missing,Missing
29563,Flacourtiaceae,Homalium,stenophyllum
29564,Dilleniaceae,Dillenia,turbinata
29565,Sapotaceae,Sideroxylon,hainanensis
29566,Leguminosae,Ormosia,pinnata
29567,Rubiaceae,Tarenna,incerta
29568,Lauraceae,Cryptocarya,concinna
29569,Cornaceae,Cornus,amomum
29570,Anacardiaceae,Rhus,engleriana
29571,Myrtaceae,Decaspermum,fruticosum
29572,Euphorbiaceae,Cleidion,spiciflorum
29573,Missing,Missing,Missing
29574,Missing,Missing,Missing
29575,Missing,Missing,Missing
29576,Sapindaceae,Pometia,pinnata
29577,Combretaceae,Terminalia,Indet
29578,Moraceae,Ficus,sp.
29579,Flacourtiaceae,Pangium,edule
29580,Tiliaceae,Microcos,sp.
29581,Leguminosae-Papil.,Ormocarpum,cochinchinense
29582,Piperaceae,Piper,sp.
29583,Lecythidaceae,Barringtonia,sp.
29584,Rubiaceae,Anthocephalus,indicus
29585,Rubiaceae,Psychotria,Indet
29586,Saurauiaceae,Saurauia,rudolfi
29587,Rubiaceae,Psychotria,diplococca
29588,Anacardiaceae,Spondias,pinnata
29589,Meliaceae,Dysoxylum,rubrum
29590,Leguminosae-Caes.,Intsia,bijuga
29591,Hippocrateaceae,Salacia,sp.
29592,Pandanaceae,Pandanus,sp.
29593,Gramineae,Bambusa,vulgaris
29594,Gramineae,Bambusa,vulgaris
29595,Gramineae,Bambusa,vulgaris
29596,Pandanaceae,Pandanus,sp.
29597,Pandanaceae,Pandanus,tectorius
29598,Bignoniaceae,Dolichandrone,spathacea
29599,Dipterocarpaceae,Shorea,negrosensis
29600,Dipterocarpaceae,Shorea,negrosensis
29601,Dipterocarpaceae,Shorea,negrosensis
29602,Bombacaceae,Cullenia,excelsa
29603,Anacardiaceae,Holigarna,arnottiana
29604,Anacardiaceae,Holigarna,longifolia
29605,Anacardiaceae,Holigarna,longifolia
29606,Anacardiaceae,Holigarna,Beddomei
29607,Anacardiaceae,Holigarna,helferi
29608,Leguminosae-Caes.,Senna,bicapsularis
29609,Leguminosae-Papil.,Machaerium,capote
29610,Leguminosae-Mim.,Acacia,rostrata
29611,Amaranthaceae,Iresine,argentata
29612,Anacardiaceae,Anacardium,occidentale
29613,Amaranthaceae,Chamissoa,altissima
29614,Bignoniaceae,Adenocalymna,inundatum
29615,Sapindaceae,Serjania,mexicana
29616,Malpighiaceae,Banisteria,jasminellum
29617,Leguminosae-Caes.,Bauhinia,glabra
29618,Leguminosae-Papil.,Dalbergia,brownei
29619,Bignoniaceae,Arrabidaea,mollissima
29620,Sapotaceae,Manilkara,Chicle
29621,Meliaceae,Trichilia,acuminata
29622,Leguminosae-Mim.,Pithecolobium,microchlamys
29623,Capparidaceae,Capparis,flexuosa
29624,Solanaceae,Solanum,rudepannum
29625,Leguminosae-Mim.,Calliandra,magdalenae
29626,Euphorbiaceae,Garcia,nutans
29627,Rutaceae,Zanthoxylum,sp.
29628,Leguminosae-Caes.,Schizolobium,parahybum
29629,Indet,Indet,Indet
29630,Connaraceae,Cnestidium,rufescens
29631,Violaceae,Hybanthus,anomalus
29632,Rubiaceae,Psychotria,horizontalis
29633,Apocynaceae,Aspidosperma,curranii
29634,Leguminosae-Caes.,Brownea,macrophylla
29635,Rubiaceae,Genipa,caruto
29636,Euphorbiaceae,Acalypha,macrostachya
29637,Apocynaceae,Plumeriopsis,ahouai
29638,Malpighiaceae,Hiraea,sanctae-marthae
29639,Polygonaceae,Triplaris,americana
29640,Indet,Indet,Indet
29641,Burseraceae,Protium,neglectum
29642,Apocynaceae,Tabernaemontana,amygdalaefolia
29643,Verbenaceae,Vitex,berteroana
29644,Simaroubaceae,Quassia,amara
29645,Lauraceae,Ocotea,sp.
29646,Chrysobalanaceae,Licania,arborea
29647,Ulmaceae,Ampelocera,hottlei
29648,Euphorbiaceae,Sapium,aucuparium
29649,Myrsinaceae,Stylogyne,turbacensis
29650,Tiliaceae,Apeiba,tibourbou
29651,Apocynaceae,Aspidosperma,cruentum
29652,Euphorbiaceae,Phyllanthus,antillanus
29653,Sapotaceae,Bumelia,persimilis typica
29654,Moraceae,Brosimum,alacastrum ssp.
29655,Leguminosae-Caes.,Copaifera,canime
29656,Meliaceae,Cedrela,odorata
29657,Combretaceae,Indet,Indet
29658,Combretaceae,Terminalia,oblonga
29659,Rutaceae,Zanthoxylum,sp.
29660,Myrtaceae,Eugenia,oblongifolia
29661,Indet,Indet,Indet
29662,Bombacaceae,Cavanillesia,platanifolia
29663,Theophrastaceae,Clavija,longifolia
29664,Euphorbiaceae,Jatropha,curcas
29665,Palmaceae,Scheelea,butyracea
29666,Bixaceae,Bixa,orellana
29667,Leguminosae-Mim.,Inga,spectabilis
29668,Euphorbiaceae,Croton,sp.
