SpecimenID,Genus,Species,Family,Unnamed: 4
351,Tsuga,canadensis,,
352,Tsuga,canadensis,,
353,Tsuga,heterophylla,,
354,Tsuga,heterophylla,,
355,Tsuga,heterophylla,,
356,Tsuga,heterophylla,,
357,Solanum,saponaceum,,
358,Tsuga,heterophylla,,
359,Tsuga,heterophylla,,
360,Tsuga,heterophylla,,
361,Tsuga,heterophylla,,
362,Tsuga,heterophylla,,
363,Tsuga,mertensiana,,
364,Tsuga,mertensiana,,
365,Tsuga,mertensiana,,
366,Fuchsia,tincta,,
367,Nicotiana,glauca,,
368,Lysopersicon,peruvianum,,
369,Stegnosperma,cubense,,
370,Solanum,peoppigianum,,
371,Pseudotsuga,menziesii,,
372,Pseudotsuga,menziesii,,
373,Pseudotsuga,menziesii,,
374,Pseudotsuga,menziesii,,
375,Pseudotsuga,menziesii,,
376,Hirtella,myrmecophila,,
377,Cestrum,sp.,,
378,Solanum,sp.,,
379,Guarea,purusana,,
380,Pseudotsuga,menziesii,,
381,Pseudotsuga,menziesii,,
382,Pseudotsuga,menziesii,,
383,Pseudotsuga,menziesii,,
384,Pseudotsuga,menziesii,,
385,Pseudotsuga,menziesii,,
386,Pseudotsuga,menziesii,,
387,Pseudotsuga,menziesii,,
388,Pseudotsuga,menziesii,,
389,Pseudotsuga,macrocarpa,,
390,Pseudotsuga,macrocarpa,,
391,Nicotiana,sp.,,
392,Senna,multijuga,,
393,Cleome,glandulosa,,
394,Larix,occidentalis,,
395,Larix,occidentalis,,
396,Larix,occidentalis,,
397,Larix,occidentalis,,
398,Larix,occidentalis,,
399,Larix,occidentalis,,
400,Larix,occidentalis,,
401,Larix,occidentalis,,
402,Larix,occidentalis,,
403,Larix,occidentalis,,
404,Larix,laricina,,
405,Larix,laricina,,
406,Larix,laricina,,
407,Larix,laricina,,
408,Cleome,anomala,,
409,Larix,lyallii,,
410,Larix,lyallii,,
411,Larix,lyallii,,
412,Abies,procera,,
413,Abies,procera,,
414,Tsuga,heterophylla,,
415,Abies,procera,,
416,Abies,procera,,
417,Capparis,cordata,,
418,Abies,concolor,,
419,Pinus,torreyana,,
420,Abies,concolor,,
421,Abies,concolor,,
422,Cleome,glandulosa,,
423,Abies,concolor,,
424,Abies,concolor,,
425,Abies,concolor,,
426,Abies,concolor,,
427,Solanum,kioniotrichum,,
428,Abies,concolor,,
429,Abies,magnifica,,
430,Euonymus,atropurpureus,,
431,Abies,magnifica,,
432,Abies,magnifica,,
433,Abies,magnifica,,
434,Abies,magnifica,,
435,Abies,magnifica,,
436,Abies,magnifica,,
437,Abies,magnifica,,
438,Abies,magnifica,,
439,Abies,magnifica,,
440,Abies,magnifica,,
441,Abies,amabilis,,
442,Licaria,sp.,,
443,Abies,amabilis,,
444,Abies,amabilis,,
445,Abies,amabilis,,
446,Abies,amabilis,,
447,Abies,amabilis,,
448,Abies,amabilis,,
449,Abies,amabilis,,
450,Abies,amabilis,,
451,Abies,amabilis,,
452,Abies,amabilis,,
453,Abies,amabilis,,
454,Abies,amabilis,,
455,Abies,amabilis,,
456,Abies,balsamea,,
457,Aniba,sp.,,
458,Abies,balsamea,,
459,Abies,balsamea,,
460,Abies,balsamea,,
461,Abies,balsamea,,
462,Abies,balsamea,,
463,Nectandra,sp.,,
464,Abies,fraseri,,
465,Abies,fraseri,,
466,Abies,fraseri,,
467,Abies,grandis,,
468,Abies,grandis,,
469,Abies,grandis,,
470,Abies,grandis,,
471,Abies,grandis,,
472,Abies,grandis,,
473,Aniba,sp.,,
474,Abies,grandis,,
475,Abies,grandis,,
476,Abies,grandis,,
477,Abies,grandis,,
478,Abies,grandis,,
479,Abies,lasiocarpa,,
